Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,Placement_Offer_Count
66,94.0,69,93.0,2020,9
79,77.0,63,,2019,9
74,,77,82.0,2020,8
70,93.0,71,77.0,2018,7
67,,61,77.0,2018,7
80,95.0,69,75.0,2019,7
66,83.0,63,79.0,2020,7
78,,73,84.0,2020,8
70,92.0,75,81.0,2019,8
70,78.0,74,100.0,2020,10
80,88.0,67,83.0,2020,8
63,92.0,73,81.0,2018,8
67,83.0,67,83.0,2020,8
62,95.0,80,,2020,8
80,76.0,75,86.0,2019,8
61,,72,76.0,2019,7
71,89.0,77,75.0,2021,7
65,81.0,74,90.0,2018,9
61,86.0,80,97.0,2020,9
80,82.0,72,97.0,2020,9
60,,68,98.0,2021,9
71,77.0,74,,2020,7
71,88.0,72,77.0,2018,7
76,91.0,60,86.0,2021,8
69,78.0,66,82.0,2018,8
75,92.0,68,,2021,9
74,82.0,60,,2021,7
74,,71,75.0,2019,7
78,76.0,67,77.0,2018,7
71,80.0,70,,2020,7
